================ Training Loss (Sat Jun 18 08:01:30 2022) ================
(epoch: 263, iters: 12, time: 0.100, data: 0.000) G_GAN: 0.688 G_L1: 2.211 D_real: 0.687 D_fake: 0.698 
(epoch: 267, iters: 16, time: 0.935, data: 0.003) G_GAN: 0.687 G_L1: 1.849 D_real: 0.688 D_fake: 0.689 
(epoch: 271, iters: 20, time: 0.104, data: 0.002) G_GAN: 0.693 G_L1: 1.443 D_real: 0.693 D_fake: 0.694 
(epoch: 275, iters: 24, time: 0.101, data: 0.002) G_GAN: 0.696 G_L1: 2.367 D_real: 0.696 D_fake: 0.690 
(epoch: 280, iters: 4, time: 0.100, data: 0.170) G_GAN: 0.688 G_L1: 1.296 D_real: 0.688 D_fake: 0.695 
(epoch: 284, iters: 8, time: 0.887, data: 0.001) G_GAN: 0.677 G_L1: 1.964 D_real: 0.678 D_fake: 0.705 
(epoch: 288, iters: 12, time: 0.100, data: 0.000) G_GAN: 0.697 G_L1: 1.484 D_real: 0.696 D_fake: 0.695 
(epoch: 292, iters: 16, time: 0.103, data: 0.002) G_GAN: 0.692 G_L1: 1.394 D_real: 0.691 D_fake: 0.695 
(epoch: 296, iters: 20, time: 0.103, data: 0.002) G_GAN: 0.694 G_L1: 1.241 D_real: 0.694 D_fake: 0.699 
(epoch: 300, iters: 24, time: 0.998, data: 0.002) G_GAN: 0.698 G_L1: 1.293 D_real: 0.698 D_fake: 0.688 
(epoch: 305, iters: 4, time: 0.098, data: 0.182) G_GAN: 0.696 G_L1: 1.946 D_real: 0.696 D_fake: 0.690 
(epoch: 309, iters: 8, time: 0.100, data: 0.000) G_GAN: 0.691 G_L1: 3.561 D_real: 0.691 D_fake: 0.695 
(epoch: 313, iters: 12, time: 0.101, data: 0.000) G_GAN: 0.694 G_L1: 2.179 D_real: 0.694 D_fake: 0.690 
(epoch: 317, iters: 16, time: 0.999, data: 0.002) G_GAN: 0.694 G_L1: 1.769 D_real: 0.694 D_fake: 0.692 
(epoch: 321, iters: 20, time: 0.102, data: 0.002) G_GAN: 0.694 G_L1: 1.296 D_real: 0.694 D_fake: 0.692 
(epoch: 325, iters: 24, time: 0.100, data: 0.002) G_GAN: 0.690 G_L1: 3.309 D_real: 0.690 D_fake: 0.693 
(epoch: 330, iters: 4, time: 0.100, data: 0.199) G_GAN: 0.695 G_L1: 0.882 D_real: 0.695 D_fake: 0.691 
(epoch: 334, iters: 8, time: 1.020, data: 0.000) G_GAN: 0.696 G_L1: 1.153 D_real: 0.696 D_fake: 0.690 
(epoch: 338, iters: 12, time: 0.101, data: 0.002) G_GAN: 0.690 G_L1: 2.303 D_real: 0.690 D_fake: 0.696 
(epoch: 342, iters: 16, time: 0.104, data: 0.003) G_GAN: 0.687 G_L1: 3.025 D_real: 0.686 D_fake: 0.699 
(epoch: 346, iters: 20, time: 0.106, data: 0.002) G_GAN: 0.695 G_L1: 1.019 D_real: 0.694 D_fake: 0.692 
(epoch: 350, iters: 24, time: 1.180, data: 0.002) G_GAN: 0.692 G_L1: 3.068 D_real: 0.691 D_fake: 0.695 
(epoch: 355, iters: 4, time: 0.097, data: 0.173) G_GAN: 0.689 G_L1: 0.877 D_real: 0.688 D_fake: 0.698 
(epoch: 359, iters: 8, time: 0.101, data: 0.000) G_GAN: 0.681 G_L1: 2.275 D_real: 0.682 D_fake: 0.685 
(epoch: 363, iters: 12, time: 0.103, data: 0.002) G_GAN: 0.697 G_L1: 1.422 D_real: 0.697 D_fake: 0.691 
(epoch: 367, iters: 16, time: 1.096, data: 0.002) G_GAN: 0.699 G_L1: 1.035 D_real: 0.699 D_fake: 0.697 
(epoch: 371, iters: 20, time: 0.103, data: 0.002) G_GAN: 0.699 G_L1: 0.935 D_real: 0.700 D_fake: 0.688 
(epoch: 375, iters: 24, time: 0.101, data: 0.003) G_GAN: 0.696 G_L1: 0.749 D_real: 0.696 D_fake: 0.690 
(epoch: 380, iters: 4, time: 0.100, data: 0.185) G_GAN: 0.697 G_L1: 1.640 D_real: 0.697 D_fake: 0.692 
(epoch: 384, iters: 8, time: 1.228, data: 0.000) G_GAN: 0.696 G_L1: 0.760 D_real: 0.696 D_fake: 0.690 
(epoch: 388, iters: 12, time: 0.100, data: 0.001) G_GAN: 0.684 G_L1: 2.287 D_real: 0.683 D_fake: 0.702 
(epoch: 392, iters: 16, time: 0.102, data: 0.002) G_GAN: 0.688 G_L1: 1.470 D_real: 0.688 D_fake: 0.703 
(epoch: 396, iters: 20, time: 0.101, data: 0.002) G_GAN: 0.696 G_L1: 0.879 D_real: 0.695 D_fake: 0.690 
(epoch: 400, iters: 24, time: 1.284, data: 0.002) G_GAN: 0.694 G_L1: 0.820 D_real: 0.694 D_fake: 0.692 
